CODIGO,GLOSA,FONASA,ISAPRE,PARTICULAR,N ORDEN,CATEGORIA
1,PABELLON 1,119700,105081,140490,2,Pabellon
2,PABELLON 2,140700,157500,163065,2,Pabellon
3,PABELLON 3,184800,196937,203805,2,Pabellon
4,PABELLON 4,227850,260010,269115,2,Pabellon
5,PABELLON 5,368550,418736,433335,2,Pabellon
6,PABELLON 6,572250,649892,672525,2,Pabellon
7,PABELLON 7,715050,813344,841575,2,Pabellon
8,PABELLON 8,961800,1075314,1112685,2,Pabellon
9,PABELLON 9,1130850,1285969,1330665,2,Pabellon
10,PABELLON 10,1365000,1543934,1597575,2,Pabellon
11,PABELLON 11,1573950,1860980,1925700,2,Pabellon
12,PABELLON 12,1921500,2164284,2239440,2,Pabellon
13,PABELLON 13,2116800,2571936,2661330,2,Pabellon
14,PABELLON 14,2415000,2694409,2788065,2,Pabellon
101001,CONSULTA DE MEDICINA GENERAL,14870,36742,41500,34,Consulta
101201,CONSULTA MEDICA DE ESPECIALIDAD EN DERMATOLOGIA,26830,59032,76500,34,Consulta
101203,CONSULTA MEDICA DE ESPECIALIDAD EN NEUROCIRUGIA,26830,65646,66500,34,Consulta
101205,CONSULTA MEDICA DE ESPECIALIDAD EN OTORRINOLARINGOLOGIA,26830,45928,66500,34,Consulta
101206,CONSULTA MÉDICA DE ESPECIALIDAD EN REUMATOLOGÍA,76500,76500,76500,34,Consulta
101209,CONSULTA MEDICA DE ESPECIALIDAD EN NEUROLOGIA ADULTOS,76500,76500,76500,34,Consulta
101211,CONSULTA MÉDICA DE ESPECIALIDAD EN ONCOLOGÍA MÉDICA,66500,62700,66500,34,Consulta
101301,CONSULTA MEDICA DE ESPECIALIDAD EN CARDIOLOGIA,18890,59032,66500,34,Consulta
101302,CONSULTA MÉDICA DE ESPECIALIDAD EN HEMATOLOGÍA,66500,66500,66500,34,Consulta
101303,CONSULTA MEDICA DE ESPECIALIDAD EN INFECTOLOGIA,18890,59032,66500,34,Consulta
101306,CONSULTA MÉDICA DE ESPECIALIDAD EN MEDICINA FÍSICA Y REHABILITACIÓN,76500,76500,76500,34,Consulta
101307,CONSULTA MEDICA DE ESPECIALIDAD EN MEDICINA INTERNA,18890,45928,58500,34,Consulta
101308,CONSULTA MEDICA DE ESPECIALIDAD EN OBSTETRICIA Y GINECOLOGIA,18890,45928,50000,34,Consulta
101309,CONSULTA MEDICA DE ESPECIALIDAD EN PEDIATRIA,18890,45928,58500,34,Consulta
101310,CONSULTA MEDICA DE ESPECIALIDAD EN TRAUMATOLOGIA Y ORTOPEDIA,18890,45928,58500,34,Consulta
101311,CONSULTA MEDICA DE ESPECIALIDAD EN UROLOGIA,26830,45928,58500,34,Consulta
101312,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA GENERAL,18890,45928,58500,34,Consulta
101313,"CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGÍA DE CABEZA, CUELLO Y MÁXILOFACIAL",18890,45928,66500,34,Consulta
101315,CONSULTA MÉDICA DE ESPECIALIDAD EN CIRUGÍA DE TÓRAX,18890,45928,66500,34,Consulta
101316,CONSULTA MEDICA DE ESPECIALIDAD CIRUGIA PLASTICA,87500,87500,87500,34,Consulta
101317,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA PEDIATRICA,18890,48622,58500,34,Consulta
101318,CONSULTA MEDICA DE ESPECIALIDAD EN CIRUGIA VASCULAR,18890,45928,66500,34,Consulta
101319,CONSULTA MÉDICA DE ESPECIALIDAD EN COLOPROCTOLOGIA,18890,45928,66500,34,Consulta
101321,CONSULTA MEDICA DE ESPECIALIDAD EN ENFERMEDADES RESPIRATORIAS,18890,45928,66500,34,Consulta
101323,CONSULTA MEDICA DE ESPECIALIDAD EN GASTROENTEROLOGIA ADULTO,76500,76500,76500,34,Consulta
101325,CONSULTA MEDICA DE ESPECIALIDAD EN GENETICA CLINICA,66500,66500,66500,34,Consulta
101326,CONSULTA MEDICA DE ESPECIALIDAD EN NEFROLOGIA,66500,66500,66500,34,Consulta
101335,CONSULTA PODOLOGIA,24900,24900,24900,34,Consulta
101336,CONSULTA TERAPIA OCUPACIONAL,33800,33800,33800,34,Consulta
101337,CONSULTA ESPECIALIDAD MAXILOFACIAL,58500,58500,58500,34,Consulta
101338,CONSULTA MATRONA,21800,21800,21800,34,Consulta
101340,NUTRICIONISTA ONCOLOGICA,35000,35000,35000,34,Consulta
102001,CONSULTA URGENCIA ADULTO,14870,59154,66763,34,Consulta
102002,CONSULTA URGENCIA INFANTIL,14870,59154,66763,34,Consulta
102003,CONSULTA URGENCIA ADULTO INHABIL,14870,72260,81585,34,Consulta
102004,CONSULTA URGENCIA INFANTIL INHABIL,14870,72260,81585,34,Consulta
102010,CONSULTA DE ESPECIALIDAD NUTRICIONISTA,31500,31500,31500,34,Consulta
102016,CONSULTA FONOAUDIOLOGIA,15000,15000,24900,34,Consulta
102031,CONSULTA ESPECIALIDAD NUTRIOLOGIA,58500,58500,58500,34,Consulta
201001,DIA CAMA CUIDADOS BASICOS (SALA 1 CAMA),340200,420083,434700,1,Hospitalizacion
201002,DIA CAMA CUIDADOS BASICOS (SALA 2 O MAS CAMAS),231000,274340,283920,1,Hospitalizacion
201101,DIA CAMA CUIDADOS MEDIOS (SALA 1 CAMA),449400,525165,543480,1,Hospitalizacion
